Game,Winner,Sequence,XRow,XCol,ORow,OCol
game000007,X,19,3,3,0,7
game000007,X,20,0,5,7,5
game000008,X,0,7,6,4,6
game000008,X,1,4,2,0,1
game000008,X,2,6,7,5,2
game000008,X,3,1,6,4,5
game000008,X,4,2,7,1,1
game000008,X,5,4,7,7,7
game000008,X,6,4,0,1,3
game000008,X,7,0,5,0,7
game000008,X,8,3,2,1,5
game000008,X,9,3,4,1,0
game000008,X,10,1,4,6,1
game000008,X,11,7,4,7,5
game000008,X,12,6,5,0,2
game000008,X,13,6,0,2,0
game000008,X,14,5,4,5,3
game000008,X,15,0,3,5,1
game000009,t,0,2,4,6,0
game000009,t,1,5,2,0,2
game000009,t,2,7,1,6,5
game000009,t,3,1,7,5,3
game000009,t,4,6,7,2,7
game000009,t,5,2,0,1,5
game000009,t,6,0,7,0,6
game000009,t,7,1,2,1,6
game000009,t,8,2,2,4,1
game000009,t,9,0,5,4,0
game000009,t,10,3,7,2,6
game000009,t,11,7,2,6,1
game000009,t,12,7,3,1,1
game000009,t,13,7,0,5,5
game000009,t,14,5,4,4,3
game000009,t,15,2,1,3,1
game000009,t,16,3,3,5,7
game000009,t,17,7,7,7,4
game000009,t,18,7,5,0,1
game000009,t,19,6,6,7,6
game000009,t,20,5,0,6,4
game000009,t,21,0,0,3,6
game000009,t,22,1,3,0,3
game000009,t,23,3,5,3,2
game000009,t,24,2,5,3,0
game000009,t,25,4,6,5,6
game000009,t,26,0,4,4,7
game000009,t,27,4,4,4,5
game000009,t,28,5,1,4,2
game000009,t,29,6,2,2,3
game000009,t,30,1,0,1,4
game000009,t,31,3,4,6,3
game000010,O,0,2,0,2,2
game000010,O,1,3,5,6,0
game000010,O,2,4,4,1,7
game000010,O,3,2,3,1,0
game000010,O,4,5,7,6,4
game000010,O,5,7,3,0,0
game000010,O,6,7,1,5,6
game000010,O,7,7,7,6,5
game000010,O,8,0,3,7,4
game000010,O,9,0,6,6,7
game000010,O,10,3,6,4,1
game000010,O,11,0,2,3,3
game000010,O,12,2,6,1,3
game000010,O,13,7,0,0,4
game000010,O,14,6,2,4,5
game000010,O,15,3,1,1,6
game000010,O,16,4,6,6,1
game000010,O,17,0,5,2,5
game000010,O,18,1,1,1,5
game000010,O,19,3,0,4,2
game000010,O,20,1,2,6,3
game000010,O,21,4,3,5,3
game000010,O,22,3,2,2,4
game000010,O,23,2,7,5,4
game000010,O,24,1,4,4,0
game000010,O,25,4,7,6,6
game000011,O,0,5,7,0,3
game000011,O,1,3,7,3,0
game000011,O,2,1,7,2,1
game000011,O,3,1,1,2,0
game000011,O,4,2,4,6,1
game000011,O,5,5,2,4,6
game000011,O,6,6,3,0,1
game000011,O,7,1,0,4,2
game000011,O,8,3,6,0,0
game000011,O,9,1,5,2,2
game000011,O,10,4,5,3,4
game000011,O,11,3,2,1,3
game000011,O,12,5,1,6,6
game000011,O,13,7,0,7,3
game000011,O,14,1,6,0,4
game000011,O,15,7,1,2,6
game000011,O,16,4,4,4,0
game000011,O,17,7,2,7,4
game000011,O,18,4,1,6,2
game000011,O,19,1,4,6,0
game000011,O,20,0,7,2,7
game000011,O,21,7,5,0,2
game000012,O,0,2,3,5,1
game000012,O,1,4,4,4,2
game000012,O,2,1,1,0,3
game000012,O,3,6,3,3,7
game000012,O,4,3,2,0,2
game000012,O,5,0,7,6,6
game000012,O,6,7,0,4,0
game000012,O,7,7,4,0,0
game000012,O,8,1,4,7,7
game000012,O,9,4,3,4,7
game000012,O,10,5,5,7,6
game000012,O,11,1,7,5,2
game000012,O,12,3,6,1,0
game000012,O,13,3,4,1,6
game000012,O,14,5,7,6,0
game000012,O,15,7,3,3,1
game000012,O,16,2,7,5,3
game000012,O,17,2,1,7,1
game000012,O,18,0,4,6,4
game000012,O,19,0,5,2,0
game000013,X,0,1,4,3,3
game000013,X,1,7,3,7,0
game000013,X,2,2,5,0,5
game000013,X,3,4,2,0,7
game000013,X,4,3,0,3,6
game000013,X,5,0,3,1,5
game000013,X,6,0,2,4,7
game000013,X,7,0,4,3,1
game000013,X,8,4,1,7,2
game000013,X,9,6,3,3,4
game000013,X,10,4,3,7,4
game000013,X,11,3,7,6,0
game000013,X,12,2,4,6,1
game000013,X,13,2,6,5,7
game000013,X,14,7,7,2,1
game000013,X,15,7,1,0,1
game000013,X,16,3,5,6,7
game000013,X,17,6,5,1,7
game000013,X,18,1,3,6,4
game000013,X,19,7,6,0,0
game000013,X,20,1,2,5,1
game000013,X,21,2,0,5,4
game000013,X,22,1,1,1,6
game000013,X,23,5,5,4,5
game000013,X,24,3,2,5,2
game000014,O,0,2,5,2,1
game000014,O,1,0,0,7,2
game000014,O,2,6,2,2,0
game000014,O,3,1,1,4,1
game000014,O,4,7,4,7,7
game000014,O,5,4,7,5,3
game000014,O,6,2,2,0,3
game000014,O,7,7,0,4,6
game000014,O,8,1,5,3,7
game000014,O,9,2,7,4,5
game000014,O,10,3,3,3,1
game000014,O,11,5,5,4,3
game000014,O,12,2,3,2,4
game000014,O,13,5,7,5,2
game000014,O,14,3,4,6,3
game000014,O,15,4,0,1,0
game000014,O,16,0,4,6,5
game000014,O,17,0,6,6,4
game000014,O,18,3,0,7,5
game000014,O,19,3,2,6,7
game000014,O,20,0,5,1,6
game000014,O,21,2,6,1,4
game000014,O,22,5,0,0,1
game000014,O,23,0,2,3,6
game000014,O,24,5,4,4,2
game000015,O,0,7,6,0,6
game000015,O,1,4,4,0,0
game000015,O,2,1,5,5,7
game000015,O,3,2,0,3,7
game000015,O,4,4,5,3,5
game000015,O,5,0,3,5,3
game000015,O,6,2,3,1,0
game000015,O,7,6,4,7,7
game000015,O,8,4,1,6,7
game000015,O,9,4,0,2,7
game000015,O,10,1,2,5,1
game000015,O,11,3,2,7,5
game000015,O,12,4,6,1,1
game000015,O,13,4,2,2,1
game000015,O,14,0,4,4,7
game000016,O,0,2,1,7,5
game000016,O,1,6,6,0,6
game000016,O,2,0,2,6,3
game000016,O,3,4,2,1,4
game000016,O,4,1,2,7,3
game000016,O,5,7,2,5,6
game000016,O,6,1,1,4,6
game000016,O,7,7,6,3,7
game000016,O,8,5,2,2,4
game000016,O,9,6,7,3,6
game000016,O,10,7,0,1,3
game000016,O,11,6,5,4,4
game000016,O,12,2,6,0,4
game000016,O,13,0,3,0,5
game000016,O,14,5,5,1,0
game000016,O,15,1,6,3,1
game000016,O,16,1,7,4,5
game000016,O,17,2,5,2,3
game000016,O,18,2,2,4,0
game000016,O,19,6,4,2,0
game000016,O,20,2,7,3,2
game000016,O,21,7,7,1,5
game000016,O,22,7,1,6,0
game000016,O,23,0,7,4,1
game000017,X,0,2,5,2,4
game000017,X,1,1,0,7,5
game000017,X,2,3,1,0,7
game000017,X,3,6,4,6,3
game000017,X,4,7,6,6,5
game000017,X,5,1,5,3,4
game000017,X,6,2,6,4,7
game000017,X,7,1,6,7,1
game000017,X,8,2,3,7,3
game000017,X,9,4,3,0,5
game000017,X,10,2,0,5,3
game000017,X,11,0,4,5,1
game000017,X,12,7,2,6,7
game000017,X,13,0,2,3,7
game000017,X,14,3,5,2,7
game000017,X,15,2,2,3,3
game000017,X,16,4,0,4,5
game000017,X,17,1,7,4,6
game000017,X,18,1,4,7,4
game000017,X,19,1,1,5,0
game000017,X,20,4,4,0,0
game000017,X,21,6,2,3,6
game000017,X,22,5,6,4,2
game000017,X,23,6,0,0,1
game000017,X,24,5,7,5,5
game000017,X,25,7,0,0,6
game000017,X,26,7,7,5,2
game000017,X,27,6,6,0,3
game000018,t,0,3,4,5,6
game000018,t,1,4,4,6,2
game000018,t,2,6,4,1,2
game000018,t,3,2,3,5,2
game000018,t,4,5,1,0,3
game000018,t,5,1,6,7,4
game000018,t,6,6,0,0,5
game000018,t,7,0,2,3,5
game000018,t,8,3,0,7,3
game000018,t,9,3,2,5,4
game000018,t,10,7,7,4,3
game000018,t,11,5,3,5,0
game000018,t,12,4,0,3,3
game000018,t,13,6,6,1,4
game000018,t,14,6,5,7,5
game000018,t,15,0,1,2,4
game000018,t,16,1,5,2,0
game000018,t,17,6,1,3,1
game000018,t,18,0,4,0,7
game000018,t,19,1,0,6,7
game000018,t,20,2,7,4,6
game000018,t,21,1,3,3,6
game000018,t,22,2,6,7,2
game000018,t,23,4,7,5,5
game000018,t,24,1,7,1,1
game000018,t,25,7,6,0,6
game000018,t,26,4,1,0,0
game000018,t,27,5,7,3,7
game000018,t,28,4,2,2,5
game000018,t,29,6,3,4,5
game000018,t,30,7,0,2,2
game000018,t,31,7,1,2,1
game000019,X,0,3,7,2,5
game000019,X,1,0,2,4,0
game000019,X,2,6,3,7,4
game000019,X,3,3,5,6,4
game000019,X,4,7,2,4,5
game000019,X,5,6,2,1,1
game000019,X,6,7,3,3,0
game000019,X,7,0,3,0,7
game000019,X,8,2,6,0,5
game000019,X,9,3,3,6,6
game000019,X,10,2,0,5,7
game000019,X,11,0,1,4,1
game000019,X,12,2,2,3,1
game000019,X,13,7,1,3,6
game000019,X,14,5,2,1,0
game000019,X,15,5,0,5,5
game000019,X,16,2,1,0,4
game000019,X,17,4,3,6,5
game000020,X,0,1,4,3,4
game000020,X,1,6,7,2,6
game000020,X,2,7,7,1,1
game000020,X,3,7,0,1,5
game000020,X,4,1,3,7,5
game000020,X,5,1,6,1,2
game000020,X,6,2,1,5,3
game000020,X,7,4,5,3,6
game000020,X,8,7,2,6,4
game000020,X,9,0,1,4,2
game000020,X,10,4,4,6,3
game000020,X,11,6,1,0,4
game000020,X,12,5,4,7,3
game000020,X,13,3,2,5,6
game000020,X,14,3,0,4,0
game000020,X,15,5,1,0,0
game000020,X,16,7,6,4,3
game000020,X,17,6,5,6,6
game000020,X,18,2,4,3,5
game000020,X,19,0,7,2,2
game000020,X,20,2,5,5,2
game000020,X,21,4,1,7,4
game000020,X,22,4,7,5,7
game000020,X,23,7,1,0,3
game000020,X,24,0,6,1,0
game000020,X,25,2,3,5,0
game000020,X,26,3,7,5,5
game000021,X,0,7,1,6,6
game000021,X,1,7,3,3,0
game000021,X,2,1,2,4,2
game000021,X,3,4,0,6,5
game000021,X,4,3,6,3,1
game000021,X,5,4,1,6,7
game000021,X,6,4,6,0,5
game000021,X,7,3,7,2,4
game000021,X,8,3,5,7,7
game000021,X,9,1,4,3,4
game000021,X,10,0,2,6,2
game000021,X,11,2,2,4,5
game000021,X,12,5,3,6,3
game000021,X,13,7,4,2,5
game000021,X,14,3,3,7,5
game000021,X,15,1,5,1,7
game000021,X,16,2,6,5,2
game000021,X,17,7,0,5,7
game000021,X,18,2,1,6,0
game000021,X,19,3,2,5,5
game000021,X,20,2,7,5,1
game000021,X,21,4,7,0,3
game000021,X,22,4,4,2,0
game000022,X,0,0,0,7,3
game000022,X,1,5,0,3,2
game000022,X,2,5,1,5,4
game000022,X,3,3,0,6,0
game000022,X,4,5,5,1,6
game000022,X,5,7,0,6,3
game000022,X,6,7,1,7,4
game000022,X,7,4,3,6,1
game000022,X,8,3,7,3,6
game000022,X,9,6,4,0,2
game000022,X,10,1,1,1,0
game000022,X,11,2,4,7,7
game000022,X,12,2,7,1,5
game000022,X,13,4,2,3,4
game000022,X,14,6,5,0,3
game000022,X,15,5,2,0,6
game000022,X,16,2,0,4,6
game000022,X,17,3,1,0,4
game000022,X,18,2,5,7,5
game000022,X,19,7,6,4,0
game000022,X,20,4,4,0,7
game000022,X,21,5,7,3,3
game000023,X,0,4,2,1,5
game000023,X,1,7,6,4,5
game000023,X,2,4,4,1,4
game000023,X,3,3,2,5,1
game000023,X,4,7,2,7,7
game000023,X,5,3,6,7,5
game000023,X,6,3,7,6,6
game000023,X,7,6,4,3,5
game000023,X,8,5,6,2,4
game000023,X,9,6,1,0,0
game000023,X,10,7,1,0,4
game000023,X,11,6,5,5,7
game000023,X,12,2,0,4,1
game000023,X,13,1,2,4,3
game000023,X,14,2,6,3,0
game000023,X,15,0,3,5,0
game000023,X,16,1,7,7,0
game000023,X,17,6,3,0,2
game000023,X,18,6,0,1,1
game000023,X,19,5,5,0,1
game000023,X,20,1,6,0,7
game000023,X,21,2,5,6,7
game000023,X,22,7,4,3,4
game000023,X,23,5,2,7,3
game000023,X,24,1,3,0,6
game000023,X,25,2,1,2,2
game000023,X,26,5,4,4,6
game000023,X,27,3,1,0,5
game000024,O,0,6,4,7,2
game000024,O,1,2,7,0,3
game000024,O,2,1,0,7,4
game000024,O,3,2,2,6,1
game000024,O,4,2,3,7,1
game000024,O,5,4,7,5,3
game000024,O,6,3,3,5,2
game000024,O,7,0,2,1,2
game000024,O,8,5,4,0,4
game000024,O,9,7,0,0,1
game000024,O,10,1,5,4,1
game000024,O,11,1,4,4,5
game000024,O,12,2,0,4,2
game000024,O,13,1,3,3,2
game000024,O,14,0,6,4,4
game000024,O,15,6,7,6,5
game000024,O,16,3,6,1,6
game000024,O,17,3,5,5,0
game000024,O,18,7,3,7,5
game000024,O,19,4,0,5,6
game000024,O,20,3,4,2,5
game000024,O,21,0,7,2,4
game000024,O,22,7,7,1,7
game000024,O,23,6,3,5,7
game000024,O,24,5,1,1,1
game000024,O,25,3,0,6,2
game000025,X,0,6,2,1,6
game000025,X,1,2,0,7,4
game000025,X,2,3,0,5,6
game000025,X,3,4,4,4,7
game000025,X,4,0,0,3,6
game000025,X,5,6,6,2,7
game000025,X,6,1,5,1,3
game000025,X,7,0,6,1,7
game000025,X,8,1,0,5,3
game000025,X,9,7,7,5,4
game000025,X,10,1,1,2,4
game000025,X,11,5,0,2,1
game000025,X,12,3,3,6,5
game000026,X,0,2,4,5,1
game000026,X,1,2,7,3,0
game000026,X,2,7,5,0,7
game000026,X,3,2,3,1,6
game000026,X,4,4,2,4,6
game000026,X,5,0,0,4,4
game000026,X,6,3,6,2,5
game000026,X,7,0,6,7,6
game000026,X,8,6,3,3,7
game000026,X,9,1,2,7,1
game000026,X,10,2,1,1,1
game000026,X,11,5,6,5,3
game000026,X,12,1,3,6,4
game000026,X,13,7,0,2,6
game000026,X,14,7,4,6,0
game000026,X,15,0,2,7,7
game000026,X,16,6,5,3,4
game000026,X,17,7,2,5,2
game000026,X,18,5,5,3,5
game000026,X,19,5,7,3,1
game000026,X,20,7,3,0,3
game000026,X,21,5,0,0,4
game000026,X,22,4,5,0,1
game000026,X,23,6,1,1,4
game000026,X,24,4,0,5,4
game000026,X,25,4,3,1,5
game000026,X,26,4,7,3,3
game000026,X,27,2,0,4,1
game000026,X,28,0,5,6,6
game000027,O,0,5,5,2,5
game000027,O,1,0,5,3,6
game000027,O,2,7,7,7,2
game000027,O,3,3,5,1,0
game000027,O,4,6,4,7,3
game000027,O,5,5,0,2,1
game000027,O,6,2,4,0,4
game000027,O,7,5,6,5,1
game000027,O,8,0,3,4,6
game000027,O,9,1,2,4,4
game000027,O,10,7,4,1,3
game000027,O,11,1,7,3,2
game000027,O,12,3,3,5,4
game000027,O,13,6,6,3,0
game000027,O,14,2,7,4,0
game000027,O,15,6,3,1,4
game000027,O,16,6,1,0,2
game000027,O,17,4,1,4,3
game000028,O,0,4,5,3,6
game000028,O,1,3,2,0,5
game000028,O,2,3,4,4,3
game000028,O,3,4,6,7,6
game000028,O,4,0,0,3,3
game000028,O,5,2,6,5,6
game000028,O,6,4,2,7,0
game000028,O,7,1,6,6,5
game000028,O,8,2,4,4,4
game000028,O,9,2,1,1,5
game000028,O,10,4,0,0,4
game000028,O,11,7,7,0,1
game000028,O,12,6,6,7,5
game000028,O,13,6,3,5,1
game000028,O,14,7,1,7,4
game000028,O,15,5,4,6,4
game000028,O,16,2,0,6,2
game000028,O,17,3,1,3,0
game000028,O,18,1,4,0,2
game000028,O,19,5,2,3,5
game000028,O,20,7,3,2,5
game000028,O,21,6,1,2,2
game000028,O,22,6,0,5,7
game000028,O,23,0,6,0,3
game000029,X,0,0,5,2,5
game000029,X,1,3,4,6,1
game000029,X,2,3,2,2,1
game000029,X,3,6,4,4,2
game000029,X,4,2,3,6,5
game000029,X,5,6,6,0,2
game000029,X,6,3,7,4,0
game000029,X,7,7,2,5,4
game000029,X,8,4,7,2,2
game000029,X,9,1,4,6,3
game000029,X,10,5,2,4,6
game000029,X,11,1,5,5,5
game000029,X,12,6,2,7,3
game000029,X,13,1,3,2,0
game000029,X,14,2,6,5,6
game000029,X,15,0,1,2,4
game000029,X,16,6,0,6,7
game000029,X,17,0,6,5,1
game000029,X,18,3,1,1,1
game000029,X,19,7,6,3,6
game000029,X,20,7,4,7,5
game000029,X,21,4,3,4,4
game000029,X,22,1,0,0,7
game000029,X,23,3,5,2,7
game000029,X,24,0,0,7,1
game000030,X,0,0,0,3,0
game000030,X,1,0,1,4,5
game000030,X,2,7,1,5,4
game000030,X,3,1,4,6,6
game000030,X,4,2,7,1,5
game000030,X,5,5,0,3,1
game000030,X,6,4,6,2,6
game000030,X,7,5,3,2,3
game000030,X,8,0,3,0,5
game000030,X,9,3,4,5,6
game000030,X,10,4,3,1,7
game000030,X,11,7,7,0,6
game000030,X,12,7,6,3,7
game000030,X,13,4,7,1,6
game000030,X,14,0,4,5,2
game000030,X,15,4,1,6,4
game000030,X,16,3,6,1,3
game000030,X,17,7,3,4,2
game000030,X,18,6,3,7,0
game000030,X,19,5,1,3,3
game000030,X,20,4,4,4,0
game000030,X,21,1,1,3,2
game000030,X,22,7,5,3,5
game000030,X,23,1,0,5,5
game000030,X,24,1,2,7,4
game000031,X,0,5,5,0,7
game000031,X,1,1,4,7,6
game000031,X,2,6,4,1,0
game000031,X,3,0,1,0,6
game000031,X,4,6,2,1,7
game000031,X,5,4,3,3,3
game000031,X,6,5,7,5,1
game000031,X,7,5,3,4,7
game000031,X,8,4,0,6,7
game000031,X,9,2,2,5,6
game000031,X,10,6,5,3,0
game000031,X,11,1,6,2,6
game000031,X,12,6,0,2,1
game000031,X,13,5,2,4,6
game000031,X,14,0,3,3,4
game000031,X,15,6,3,7,3
game000031,X,16,4,4,0,4
game000031,X,17,3,1,2,7
game000032,O,0,3,5,3,7
game000032,O,1,4,6,5,1
game000032,O,2,2,2,0,7
game000032,O,3,6,4,0,2
game000032,O,4,4,3,4,7
game000032,O,5,2,4,5,3
game000032,O,6,0,4,1,1
game000032,O,7,7,2,3,0
game000032,O,8,0,6,3,6
game000032,O,9,5,6,1,0
game000032,O,10,1,2,2,1
game000032,O,11,1,7,6,1
game000032,O,12,7,5,3,2
game000032,O,13,4,1,5,2
game000032,O,14,2,0,7,1
game000032,O,15,1,6,4,0
game000032,O,16,5,0,2,3
game000032,O,17,1,4,6,6
game000032,O,18,7,6,2,7
game000032,O,19,1,3,3,4
game000032,O,20,0,5,6,5
game000032,O,21,6,2,1,5
game000032,O,22,6,0,6,7
game000032,O,23,5,4,5,7
game000033,X,0,4,0,2,3
game000033,X,1,3,1,4,2
game000033,X,2,1,6,6,2
game000033,X,3,4,6,1,1
game000033,X,4,0,1,2,7
game000033,X,5,5,2,4,7
game000033,X,6,6,7,0,3
game000033,X,7,3,4,2,5
game000033,X,8,5,1,3,5
game000033,X,9,7,1,7,4
game000033,X,10,3,7,4,4
game000033,X,11,5,0,7,7
game000033,X,12,1,4,0,2
game000033,X,13,0,4,2,0
game000033,X,14,2,1,1,2
game000033,X,15,1,5,5,6
game000033,X,16,3,2,6,3
game000033,X,17,4,5,5,3
game000033,X,18,2,2,5,4
game000033,X,19,7,6,1,7
game000033,X,20,2,6,0,7
game000034,O,0,0,6,3,0
game000034,O,1,3,6,6,3
game000034,O,2,7,3,0,5
game000034,O,3,1,5,2,2
game000034,O,4,6,7,0,7
game000034,O,5,1,7,7,4
game000034,O,6,4,2,1,2
game000034,O,7,7,6,5,7
game000034,O,8,1,1,3,5
game000034,O,9,5,4,4,3
game000034,O,10,3,1,6,4
game000034,O,11,2,6,4,4
game000034,O,12,5,6,4,5
game000034,O,13,5,2,5,5
game000034,O,14,3,7,4,7
game000034,O,15,0,1,7,1
game000034,O,16,7,2,2,4
game000034,O,17,6,0,5,1
game000034,O,18,0,0,1,6
game000034,O,19,2,1,3,2
game000034,O,20,4,0,3,4
game000034,O,21,1,0,5,0
game000034,O,22,7,5,2,5
game000035,O,0,3,2,0,2
game000035,O,1,2,3,1,7
game000035,O,2,1,6,2,5
game000035,O,3,6,2,0,6
game000035,O,4,0,0,1,5
game000035,O,5,0,3,6,4
game000035,O,6,7,1,6,6
game000035,O,7,4,0,2,2
game000035,O,8,5,3,6,5
game000035,O,9,2,4,2,0
game000035,O,10,7,0,1,0
game000035,O,11,3,4,4,1
game000035,O,12,0,4,7,6
game000035,O,13,4,3,4,2
game000035,O,14,7,7,1,1
game000035,O,15,4,6,0,7
game000035,O,16,3,7,7,5
game000035,O,17,7,3,3,6
game000035,O,18,1,2,5,5
game000035,O,19,6,1,4,7
game000035,O,20,1,3,5,6
game000035,O,21,0,1,4,4
game000035,O,22,1,4,5,2
game000035,O,23,5,1,6,3
game000035,O,24,6,7,3,1
game000035,O,25,0,5,3,5
game000035,O,26,7,4,5,7
game000035,O,27,2,1,7,2
game000035,O,28,6,0,5,4
game000035,O,29,2,7,5,0
game000035,O,30,3,0,3,3
game000036,O,0,6,7,7,1
game000036,O,1,7,0,3,7
game000036,O,2,1,5,6,2
game000036,O,3,5,3,5,7
game000036,O,4,3,5,1,1
game000036,O,5,6,6,2,4
game000036,O,6,0,6,4,0
game000036,O,7,4,6,7,3
game000036,O,8,6,0,1,4
game000036,O,9,1,3,5,5
game000036,O,10,2,7,6,3
game000036,O,11,1,2,1,7
game000036,O,12,3,1,6,1
game000036,O,13,2,3,4,2
game000036,O,14,4,7,0,3
game000036,O,15,2,1,7,5
game000036,O,16,5,4,0,2
game000036,O,17,0,5,1,6
game000036,O,18,3,4,3,6
game000036,O,19,7,6,5,6
game000036,O,20,3,3,5,2
game000036,O,21,6,5,0,7
game000036,O,22,6,4,7,7
game000036,O,23,0,4,4,1
game000036,O,24,4,4,4,5
game000036,O,25,0,1,2,2
game000036,O,26,0,0,2,5
game000036,O,27,2,0,3,0
game000036,O,28,5,1,7,2
game000036,O,29,5,0,7,4
game000037,O,0,4,2,1,6
game000037,O,1,3,5,6,2
game000037,O,2,7,6,4,1
game000037,O,3,1,1,4,0
